,a,b,C,d,e,f
1,機動戦士ガンダムUC Blu-ray BOX【Blu-ray】 [ 内山昂輝 ],15840,楽天ブックス,https://www.rakuten.co.jp/book/,5.0,https://item.rakuten.co.jp/book/15611061/
2,機動戦士ガンダム EXTREME VS. マキシブーストON,7667,楽天ブックス,https://www.rakuten.co.jp/book/,2.67,https://item.rakuten.co.jp/book/16278445/
3,カフア（QAHWA）　ガンダム　コーヒーボトル　ZEON RED　ステンレスマグボトル　420ml　CB-JAPAN（シービージャパン）,3500,ホーム＆キッチン　プラス,https://www.rakuten.co.jp/hakp/,4.75,https://item.rakuten.co.jp/hakp/2005-4571347177183/
4,ガンダム フリクションボールペン 3色 0.5mm,1198,名港ショップ 楽天市場店,https://www.rakuten.co.jp/meikou/,5.0,https://item.rakuten.co.jp/meikou/120380/
5,【新品】機動戦士Zガンダム Define (1-18巻 最新刊) 全巻セット,11506,漫画全巻ドットコム 楽天市場店,https://www.rakuten.co.jp/mangazenkan/,5.0,https://item.rakuten.co.jp/mangazenkan/ki-426/
6,【SALE 対象商品】アニメ キャラクター グッズTシャツ 洋服機動戦士ガンダム ジオン軍ドムモノアイ刺繍ポロシャツBLACK ブラック 黒公式 COSPA コスパパーティー イベントザバゲー,4180,インターネットショッピングALLCAM,https://www.rakuten.co.jp/auc-allcam/,0.0,https://item.rakuten.co.jp/auc-allcam/10010517/
7,バンダイスピリッツ RG 1/144 RX-178 ガンダムMk-II エゥーゴ仕様 RG08ガンダムマ-ク2エウ-ゴN [RG08ガンダムマ-ク2エウ-ゴN],2470,エディオン　楽天市場店,https://www.rakuten.co.jp/edion/,0.0,https://item.rakuten.co.jp/edion/4573102615985/
8,【先着特典】U.C.ガンダムBlu-rayライブラリーズ　機動戦士ガンダムZZ　1【Blu-ray】(特製A4クリアファイル),20900,楽天ブックス,https://www.rakuten.co.jp/book/,0.0,https://item.rakuten.co.jp/book/16179531/
9,【先着特典】U.C.ガンダムBlu-rayライブラリーズ　機動戦士ガンダムZZ　2＜最終巻＞【Blu-ray】(特製A4クリアファイル),20900,楽天ブックス,https://www.rakuten.co.jp/book/,0.0,https://item.rakuten.co.jp/book/16179532/
10,BEV-M81-730　ガンダム　ソロモンの攻防　1000ピース ジグソーパズル パズル Puzzle マイクロピース ギフト 誕生日 プレゼント 誕生日プレゼント,2112,ジグソークラブ楽天市場店,https://www.rakuten.co.jp/jigsawclub/,0.0,https://item.rakuten.co.jp/jigsawclub/bev7752481730/
11,【先着特典】U.C.ガンダムBlu-rayライブラリーズ 機動戦士ガンダム【Blu-ray】(特製A4クリアファイル),24035,楽天ブックス,https://www.rakuten.co.jp/book/,0.0,https://item.rakuten.co.jp/book/16179528/
12,機動戦士ガンダム 劇場版三部作 4KリマスターBOX UltraHD《特装限定版》 (初回限定) 【Blu-ray】,27390,ハピネット・オンライン,https://www.rakuten.co.jp/es-toys/,0.0,https://item.rakuten.co.jp/es-toys/10837091/
13,ガンダム フリクションボール3色 メタル 0.5mm,2700,名港ショップ 楽天市場店,https://www.rakuten.co.jp/meikou/,5.0,https://item.rakuten.co.jp/meikou/120455/
14,（予約）FW GUNDAM CONVERGE （ガンダムコンバージ） ♯21（食玩）BOX　2021年5月10日発売予定,4400,トレカショップ二木,https://www.rakuten.co.jp/niki/,0.0,https://item.rakuten.co.jp/niki/4549660504559/
15,【中古】[PS2]ZEONIC FRONT(ジオニックフロント) 機動戦士ガンダム0079(20010906),680,メディアワールド 販売＆買取SHOP,https://www.rakuten.co.jp/mediaworldkaitoriworld/,0.0,https://item.rakuten.co.jp/mediaworldkaitoriworld/10400270001/
16,機動戦士ガンダム MOBILE SUIT ENSEMBLE 11 【全5種セット】,1980,A-TOYS　楽天市場店,https://www.rakuten.co.jp/aromacoffee/,0.0,https://item.rakuten.co.jp/aromacoffee/bd-mse11b/
17,ガンダムビルドダイバーズ COMPACT Blu-ray Vol.2＜最終巻＞【Blu-ray】 [ 小林裕介 ],8800,楽天ブックス,https://www.rakuten.co.jp/book/,0.0,https://item.rakuten.co.jp/book/16439445/
18,ガンダムビルドファイターズ COMPACT Blu-ray Vol.1【Blu-ray】 [ 小松未可子 ],9350,楽天ブックス,https://www.rakuten.co.jp/book/,0.0,https://item.rakuten.co.jp/book/16439439/
19,【マラソン限定P5倍！】ガンダムシリーズ 3作品 コンプリート DVD-BOX 機動戦士ガンダム SEED+機動戦士ガンダム SEED DESTINY+新機動戦記ガンダム W サンライズ ロボット アニメ ギフト プレゼント ラッピング 大容量 NEW,11980,アニメDVD専門店　アニメストア,https://www.rakuten.co.jp/animestore/,0.0,https://item.rakuten.co.jp/animestore/gundam-3s/
20,1カートン(60個入り)バンダイ『機動戦士ガンダム マシンヘッド2　MACHINE HEAD2』新品未開封,3850,正直屋さん 安さで注目の玩具屋,https://www.rakuten.co.jp/auc-syouziki3/,0.0,https://item.rakuten.co.jp/auc-syouziki3/10002843/
21,ガンダムビルドダイバーズ COMPACT Blu-ray Vol.1【Blu-ray】 [ 小林裕介 ],8800,楽天ブックス,https://www.rakuten.co.jp/book/,0.0,https://item.rakuten.co.jp/book/16439444/
22,ガンダムで英語を身につける本 [ ガンダムEnglish研究会 ],1026,楽天ブックス,https://www.rakuten.co.jp/book/,4.02,https://item.rakuten.co.jp/book/4346959/
