,商品名,ランキング,価格,平均評価
1,MODEROID 機動警察パトレイバー AV-0ピースメーカー プラモデル[グッドスマイルカンパニー]《11月予約》,1,3800,0.0
2,装甲騎兵ボトムズ 1/35 スコープドッグ レッドショルダーカスタム [PS版] プラモデル（再販）[WAVE]《08月予約》,2,4570,0.0
3,HMM ゾイド EZ-027 レブラプター 1/72 プラモデル[コトブキヤ]《09月予約》,3,3960,0.0
4,MODEROID 機動警察パトレイバー AV-X0零式 プラモデル（再販）[グッドスマイルカンパニー]《08月予約》,4,3800,0.0
5,再販 WAVE 1/35 装甲騎兵ボトムズ スコープドッグ レッドショルダーカスタム プラモデル BK-224 【8月予約】,5,4480,0.0
6,マブラヴ オルタネイティヴ 武御雷 Type-00R Ver.1.5 プラモデル（再販）[コトブキヤ]《09月予約》,6,4780,0.0
7,DYNACTION 汎用ヒト型決戦兵器 人造人間エヴァンゲリオン初号機（再販）[BANDAI SPIRITS]【同梱不可】【送料無料】《04月予約》,7,16700,0.0
8,バンダイ HGCE 機動戦士ガンダムSEED DESTINY デスティニーガンダム 1／144スケール ガンダムプラモデル,8,1936,0.0
9,マブラヴ オルタネイティヴ 武御雷 Type-00F 月詠真那機 Ver.1.5 プラモデル（再販）[コトブキヤ]《10月予約》,9,4780,0.0
10,RG 1/144 ジオング 機動戦士ガンダム,10,8998,0.0
11,バンダイ プラモデル 1/144 HGUC 238クスィーガンダム,11,8250,0.0
12,【新品】【即納】PG UNLEASHED 機動戦士ガンダム RX-78-2 ガンダム 1/60スケール 色分け済みプラモデル,12,34496,5.0
13,MG 1/100 FAZZ Ver.Ka 「チタニウムフィニッシュ 」ガンダムベース限定 新品未開封品 機動戦士ガンダム ガンダムセンチネル マスターグレード,13,28500,0.0
14,バンダイ 1/144 RG-10 MSZ-006 ゼータガンダム,14,2640,0.0
15,PG 1/60 RX-0[N] ユニコーンガンダム2号機 バンシィ・ノルン (機動戦士ガンダムUC)(再販)【新品】 ガンプラ パーフェクトグレード プラモデル 【宅配便のみ】,15,24200,0.0
16,マブラヴ オルタネイティヴ 1/144 武御雷 Type-00R プラモデル（再販）[コトブキヤ]《10月予約》,16,2470,0.0
17,HGUC 1/144 ΞガンダムVSペーネロペー ファンネル・ミサイル エフェクトセット プラモデル BANDAI SPIRITS,17,22780,0.0
18,装甲騎兵ボトムズ ザ・ラストレッドショルダー ブラッドサッカー[PS版] 1/35 プラモデル[WAVE]《06月予約》,18,4550,0.0
19,RIOBOT スーパーロボット大戦OG 変形合体 R-2パワード[千値練]《10月予約》,19,19800,0.0
20,★【単4アルカリ電池4本付き・送料無料】　エレキット　ロボット工作キット　フォロ　赤外線レーダー搭載6足歩行ロボット　MR-9107　STEM　自由研究,20,3990,4.38
21,HGCE 1/144 デスティニーガンダム プラモデル 『機動戦士ガンダムSEED DESTINY』（再販）[BANDAI SPIRITS]《発売済・在庫品》,21,1887,0.0
22,【中古】RG/MSN-06S1/144「シナンジュ(スペシャルコーティング)」プレミアムバンダイ限定【A'】※未組立 ※外箱傷みあり,22,14850,0.0
23,COMBAT ARMORS MAX25 太陽の牙ダグラム 1/72 ソルティック H8 ラウンドフェイサー ハングライダー装着タイプ[マックスファクトリー]《10月予約》,23,4900,0.0
24,HG ゲッターアーク プラモデル 『ゲッターロボ アーク』[BANDAI SPIRITS]《09月予約》,24,3300,0.0
25,バンダイスピリッツ SDガンダム クロスシルエット ユニコーンガンダム3号機 フェネクス（デストロイモード）（ナラティブVer．）,25,1056,0.0
26,バンダイスピリッツ MG 1/100 ガンダム・センチネル MSA-0011 Ex-Sガンダム/Sガンダム プラモデル （ZP86489）,26,12800,0.0
27,バンダイ RG 1/144 ガンダムアストレイ ゴールドフレーム天 スペシャルコーティング,27,12800,0.0
28,【2021年8月予約】ULTIMAGEAR 千年パズル 「遊戯王」,28,12000,0.0
29,バンダイ 1/100 フルメカニクス ASW-G-08 ガンダムバルバトスルプス ｢機動戦士ガンダム 鉄血のオルフェンズ」より ガンプラ 5056825,29,2970,0.0
30,【セール中】RG エヴァンゲリオン 汎用ヒト型決戦兵器 人造人間エヴァンゲリオン初号機DX 輸送台セット 色分け済みプラモデル,30,11737,0.0
